filename,title,category,description,aspect_ratio,url,show
Advanced Flight.webp,Advanced Flight,Frontend development,,2780/1738,,yes
Alfredge 1.webp,Alfredge 1,Album artwork,,1702/1702,,yes
Alfredge 2.webp,Alfredge 2,Album artwork,,682/682,,yes
another logo.webp,Another Logo,"Branding, Logo",,900/900,,yes
Another Studio 1.webp,Another Studio 1,Branding,,2553/1411,,yes
Another Studio 2.webp,Another Studio 2,Branding,,2550/1410,,yes
apura1.webp,Apura1,"Branding, UX / UI",,3200/12330,,yes
Axis 1.webp,Axis 1,"Branding, Packaging",,1290/1120,,yes
Beast vapors bottles.webp,Beast Vapors Bottles,"Branding, Packaging",,4388/1120,,yes
Beast vapors.webp,Beast Vapors,"Branding, Packaging",,2206/1379,,yes
bft.webp,Bft,UX / UI,,1600/9759,,yes
branding-DISTECH.webp,Branding Distech,Branding,,1920/1280,,yes
branding-DOMOTICA.webp,Branding Domotica,Branding,,1900/1425,,yes
branding-FS.webp,Branding Fs,Branding,,3000/1899,,yes
cahuimpiLogo.webp,Cahuimpi,Logo,,2258/1613,,yes
Camzo copy.webp,Camzo Copy,"Logo, Branding",,1316/987,,yes
Camzo leathergram.webp,Camzo Leathergram,"Logo, Branding",,887/887,,yes
camzo logo 2015-01.webp,Camzo Logo 2015 01,Logo,,2050/2193,,yes
camzo.webp,Camzo,Branding,,4284/2856,,yes
camzo2.webp,Camzo2,Branding,,1744/1091,,yes
canteen.webp,Canteen,"Branding, UX / UI",,2406/1503,,yes
CHEPIZZA caja.webp,Chepizza Caja,"Branding, Packaging",,4000/2500,,yes
Churlys.webp,Churlys,Frontend development,,2780/1738,,yes
cohinoor1.webp,Cohinoor1,UX / UI,,1600/7290,,yes
Colder pack.webp,Colder Pack,"Logo, Branding, Packaging",,3872/2592,,yes
Colder plain.webp,Colder Plain,"Logo, Branding, Packaging",,2867/2020,,yes
Conmebol.webp,Conmebol,Editorial,,3239/2429,,yes
Corven Bajaj 10.webp,Corven Bajaj 10,3D design,,3508/2480,,yes
Corven Bajaj 2.webp,Corven Bajaj 2,3D design,,1754/1240,,yes
Corven Bajaj 3.webp,Corven Bajaj 3,3D design,,1754/1240,,yes
Corven Bajaj 4.webp,Corven Bajaj 4,3D design,,1754/1240,,yes
Corven Bajaj 5.webp,Corven Bajaj 5,3D design,,1754/1240,,yes
Corven Bajaj 6.webp,Corven Bajaj 6,3D design,,1754/1240,,yes
Corven Bajaj 7.webp,Corven Bajaj 7,3D design,,1754/1240,,yes
Corven Bajaj 8.webp,Corven Bajaj 8,3D design,,1754/1240,,yes
Corven Bajaj 9.webp,Corven Bajaj 9,3D design,,1754/1240,,yes
Corven Bajaj stand 1.webp,Corven Bajaj Stand 1,3D design,,1754/1240,,yes
Corven Bajaj stand 2.webp,Corven Bajaj Stand 2,3D design,,1754/1240,,yes
Corven Bajaj stand 3.webp,Corven Bajaj Stand 3,3D design,,1754/1240,,yes
Corven Bajaj stand 4.webp,Corven Bajaj Stand 4,3D design,,1754/1240,,yes
Corven Bajaj stand 5.webp,Corven Bajaj Stand 5,3D design,,1754/1240,,yes
Corven Bajaj stand 6.webp,Corven Bajaj Stand 6,3D design,,3508/2480,,yes
Corven Bajaj.webp,Corven Bajaj,3D design,,1754/1240,,yes
Corvette fiesya.webp,Corvette Fiesya,Flyers,,521/1009,,yes
Corvette flyer.webp,Corvette Flyer,Flyers,,512/768,,yes
corvettenuevo.webp,Corvettenuevo,Branding,,2000/2000,,yes
