category,categoryLabel,slug,store,town,region,phone,email,ownersRaw,website,tradesAs,sharedSiteWith,siteScore,siteTech,siteSnapshot,googleRating,googleReviews,facebook,fbFollowers,instagram,previewHost,stage,categoryReasons,notes
1,No website,hawera,STIHL SHOP Hawera,Hawera,Central,06 278 4753,hawera@stihlshop.co.nz,Damon Milham,,,,,,,4.6,65,https://www.facebook.com/stihlshophawera,335,,hawera.preview.f925.works,,no website of their own · Google 4.6★ (65 reviews) with nowhere to send people · Facebook page with 335 followers is their only web presence,
1,No website,masterton,STIHL SHOP Masterton,Masterton,Central,06 377 5549,masterton@stihlshop.co.nz,Jeremy Sharp & Richard Wilton,,,,,,,4.5,111,https://www.facebook.com/stihlshop.masterton,2754,,masterton.preview.f925.works,,"no website of their own · Google 4.5★ (111 reviews) with nowhere to send people · Facebook page with 2,754 followers is their only web presence",
1,No website,taihape,STIHL SHOP Taihape,Taihape,Central,06 388 1211,taihape@stihlshop.co.nz,Stephen Gazjago & Joshua Gazjago,,,,,,,5,4,https://www.facebook.com/p/STIHL-Shop-Taihape-61553751012098/,171,,taihape.preview.f925.works,,no website of their own · Google 5★ (4 reviews) with nowhere to send people · Facebook page with 171 followers is their only web presence,
1,No website,taumarunui,STIHL SHOP Taumarunui,Taumarunui,Central,07 895 8110,taumarunui@stihlshop.co.nz,Stephen Gazjago & Joshua Gazjago,,,,,,,4.7,6,https://www.facebook.com/p/STIHL-Shop-Taumarunui-61554221421505/,88,,taumarunui.preview.f925.works,,no website of their own · Google 4.7★ (6 reviews) with nowhere to send people · Facebook page with 88 followers is their only web presence,
1,No website,taupo,STIHL SHOP Taupo,Taupo,Central,07 378 4667,taupo@stihlshop.co.nz,Tim & Kate Martin,,,,,,,4.6,50,https://www.facebook.com/StihlShopTaupo,,https://www.instagram.com/stihlshoptaupo/,taupo.preview.f925.works,,no website of their own · Google 4.6★ (50 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,wairoa,STIHL SHOP Wairoa,Wairoa,Central,06 838 9005,wairoa@stihlshop.co.nz,Craig Curphey,,,,,,,4.4,7,https://www.facebook.com/p/STIHL-Shop-Wairoa-100067812002248/,279,,wairoa.preview.f925.works,,no website of their own · Google 4.4★ (7 reviews) with nowhere to send people · Facebook page with 279 followers is their only web presence,
1,No website,wanganui,STIHL SHOP Wanganui,Wanganui,Central,06 348 9560,wanganui@stihlshop.co.nz,John & Robert Bartley,,,,,,,4.6,60,https://www.facebook.com/stihlshopwhanganui,2117,,wanganui.preview.f925.works,,"no website of their own · Google 4.6★ (60 reviews) with nowhere to send people · Facebook page with 2,117 followers is their only web presence",
1,No website,albany,STIHL SHOP Albany,Albany,Northern,09 414 0022,albany@stihlshop.co.nz,Steve and Emma Marshall,,,,,,,4.6,193,https://www.facebook.com/stihlshopalbany,1324,https://www.instagram.com/stihlshopalbany/,albany.preview.f925.works,Proposal Sent,"no website of their own · Google 4.6★ (193 reviews) with nowhere to send people · Facebook page with 1,324 followers is their only web presence",
1,No website,cambridge,STIHL SHOP Cambridge,Cambridge,Northern,07 827 6763,cambridge@stihlshop.co.nz,Rodney Weinberg & Jai Trench,,,,,,,4.5,83,https://www.facebook.com/p/Stihl-Shop-Cambridge-100063671918082/,1811,https://www.instagram.com/stihlshopcambridge/,cambridge.preview.f925.works,,"no website of their own · Google 4.5★ (83 reviews) with nowhere to send people · Facebook page with 1,811 followers is their only web presence",
1,No website,dargaville,STIHL SHOP Dargaville,Dargaville,Northern,021 317 638,dargaville@stihlshop.co.nz,Stewart Mills,,,,,,,,,,,,dargaville.preview.f925.works,,no website of their own · not even a Facebook page found,
1,No website,ellerslie,STIHL SHOP Ellerslie,Ellerslie,Northern,09 579 4938,ellerslie@stihlshop.co.nz,Philip and Karen Rollo,,,,,,,4.6,158,https://www.facebook.com/stihlshopellerslie,130,https://www.instagram.com/stihlshopellerslie/,ellerslie.preview.f925.works,,no website of their own · Google 4.6★ (158 reviews) with nowhere to send people · Facebook page with 130 followers is their only web presence,
1,No website,huntly,STIHL SHOP Huntly,Huntly,Northern,07 828 0011,huntly@stihlshop.co.nz,Graham & Sue Randall,,,,,,,4.1,31,https://www.facebook.com/STIHLSHOPHUNTLY,224,,huntly.preview.f925.works,,no website of their own · Google 4.1★ (31 reviews) with nowhere to send people · Facebook page with 224 followers is their only web presence,
1,No website,kaitaia,STIHL SHOP Kaitaia,Kaitaia,Northern,09 408 2770,kaitaia@stihlshop.co.nz,Johno Brien & Carol Carr,,,,,,,4.6,50,https://www.facebook.com/stihlshopkta,853,https://www.instagram.com/stihlshopkaitaia/,kaitaia.preview.f925.works,,no website of their own · Google 4.6★ (50 reviews) with nowhere to send people · Facebook page with 853 followers is their only web presence,
1,No website,kumeu,STIHL SHOP Kumeu,Kumeu,Northern,09 412 8592,kumeu@stihlshop.co.nz,Craig Walker,,,,,,,4.6,68,https://www.facebook.com/stihlshopkumeu,819,https://www.instagram.com/stihlshopkumeu/,kumeu.preview.f925.works,Proposal Sent,no website of their own · Google 4.6★ (68 reviews) with nowhere to send people · Facebook page with 819 followers is their only web presence,Want to discuss pricing and see how the platform works
1,No website,onehunga,STIHL SHOP Onehunga,Onehunga,Northern,09 636 6770,onehunga@stihlshop.co.nz,Shane Taylor,,,,,,,4.6,107,https://www.facebook.com/StihlShopOnehunga,2182,,onehunga.preview.f925.works,,"no website of their own · Google 4.6★ (107 reviews) with nowhere to send people · Facebook page with 2,182 followers is their only web presence",stihlshoponehunga.co.nz does not exist
1,No website,otorohanga,STIHL SHOP Otorohanga,Otorohanga,Northern,07 873 4016,otorohanga@stihlshop.co.nz,Darren Lupton & Matthew Scott,,,,,,,4.4,10,https://www.facebook.com/StihlShopOtorohanga,358,,otorohanga.preview.f925.works,,no website of their own · Google 4.4★ (10 reviews) with nowhere to send people · Facebook page with 358 followers is their only web presence,
1,No website,putaruru,STIHL SHOP Putaruru,Putaruru,Northern,07 883 8935,putaruru@stihlshop.co.nz,Anton & Morgan Middendorf,,,,,,,4.5,26,https://www.facebook.com/STIHLSHOPPutaruru,,,putaruru.preview.f925.works,,no website of their own · Google 4.5★ (26 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,te-puke,STIHL SHOP Te Puke,Te Puke,Northern,07 573 7019,tepuke@stihlshop.co.nz,Jeremy Fursdon & Brad Helbron,,,,,,,4.5,83,https://www.facebook.com/stihlshoptepuke,,https://www.instagram.com/stihlshoptepuke/,te-puke.preview.f925.works,,no website of their own · Google 4.5★ (83 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,thames,STIHL SHOP Thames,Thames,Northern,07 868 8730,thames@stihlshop.co.nz,Jill Gavey & Nic Jensen,,,,,,,4.8,72,https://www.facebook.com/stihlshopthames,234,,thames.preview.f925.works,,no website of their own · Google 4.8★ (72 reviews) with nowhere to send people · Facebook page with 234 followers is their only web presence,
1,No website,tokoroa,STIHL SHOP Tokoroa,Tokoroa,Northern,07 886 6612,tokoroa@stihlshop.co.nz,Russell & Gaye Hoskins,,,,,,,4.9,57,https://www.facebook.com/tokoroabusinessinc,,,tokoroa.preview.f925.works,,no website of their own · Google 4.9★ (57 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,waiheke,STIHL SHOP Waiheke,Waiheke Island,Northern,022 320 3844,waiheke@stihlshop.co.nz,Ben Lash,,,,,,,5,7,https://www.facebook.com/stihlshopwaiheke,,,waiheke.preview.f925.works,,no website of their own · Google 5★ (7 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,waipapa,STIHL SHOP Waipapa,Kerikeri,Northern,09 407 6140,waipapa@stihlshop.co.nz,Mathew & Kimberley Vincent,,,,,,,3.9,54,https://www.facebook.com/stihlshopwaipapa,74,https://www.instagram.com/stihlshopwaipapa/,waipapa.preview.f925.works,,no website of their own · Google 3.9★ (54 reviews) with nowhere to send people · Facebook page with 74 followers is their only web presence,
1,No website,westgate,STIHL SHOP Westgate,Auckland,Northern,09 930 9999,westgate@stihlshop.co.nz,"Craig Walker, Ben & Rae Deakin",,,,,,,4.2,33,https://www.facebook.com/stihlshopwestgate,,,westgate.preview.f925.works,,no website of their own · Google 4.2★ (33 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,whangamata,STIHL SHOP Whangamata,Whangamata,Northern,07 865 6093,whangamata@stihlshop.co.nz,Phillip and Cheryl Clarke,,,,,,,4.2,5,https://www.facebook.com/STIHL-SHOP-Whangamata-102018525339576,60,,whangamata.preview.f925.works,,no website of their own · Google 4.2★ (5 reviews) with nowhere to send people · Facebook page with 60 followers is their only web presence,
1,No website,alexandra,STIHL SHOP Alexandra,Alexandra,Southern,03 976 7560,alexandra@stihlshop.co.nz,Murray Wilson,,,,,,,3.5,11,https://www.facebook.com/STIHLSHOPGlenEden,1489,,alexandra.preview.f925.works,,"no website of their own · Google 3.5★ (11 reviews) with nowhere to send people · Facebook page with 1,489 followers is their only web presence",
1,No website,ashburton,STIHL SHOP Ashburton,Ashburton,Southern,03 308 2055,ashburton@stihlshop.co.nz,Jeff and Kerry Marshall,,,,,,,4.9,37,https://www.facebook.com/STIHLSHOPAshburton,1323,https://www.instagram.com/stihlshopashburton/,ashburton.preview.f925.works,,"no website of their own · Google 4.9★ (37 reviews) with nowhere to send people · Facebook page with 1,323 followers is their only web presence",
1,No website,blenheim,STIHL SHOP Blenheim,Blenheim,Southern,03 578 3600,blenheim@stihlshop.co.nz,Steve & Mandy Metzger,,,,,,,4.4,76,https://www.facebook.com/stihlshopblenheimhondamarlborough,626,https://www.instagram.com/stihlshopblenheim/,blenheim.preview.f925.works,,no website of their own · Google 4.4★ (76 reviews) with nowhere to send people · Facebook page with 626 followers is their only web presence,stihlshopblenheim.nz redirects to franchise site
1,No website,cromwell,STIHL SHOP Cromwell,Cromwell,Southern,03 445 1046,cromwell@stihlshop.co.nz,Murray Wilson,,,,,,,5,4,https://www.facebook.com/stihlshopcromwell,234,,cromwell.preview.f925.works,,no website of their own · Google 5★ (4 reviews) with nowhere to send people · Facebook page with 234 followers is their only web presence,Operated by Southland Farm Machinery
1,No website,dunedin,STIHL SHOP Dunedin,Dunedin,Southern,03 455 4667,dunedin@stihlshop.co.nz,Daniel Marsh and Michelle Golder,,,,,,,4.4,129,https://www.facebook.com/StihlShopDunedin,723,,dunedin.preview.f925.works,,no website of their own · Google 4.4★ (129 reviews) with nowhere to send people · Facebook page with 723 followers is their only web presence,stihlshopdunedin.co.nz redirects to franchise site
1,No website,gore,STIHL SHOP Gore,Gore,Southern,03 208 7518,gore@stihlshop.co.nz,Aaron Green,,,,,,,4.7,27,https://www.facebook.com/Stihl-Shop-Gore-110528875637638,,,gore.preview.f925.works,,no website of their own · Google 4.7★ (27 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,milton,STIHL SHOP Milton,Milton,Southern,03 417 8959,milton@stihlshop.co.nz,John Taal,,,,,,,4.8,30,https://www.facebook.com/STIHLSHOPMiltonnz,723,https://www.instagram.com/stihlshopmilton/,milton.preview.f925.works,,no website of their own · Google 4.8★ (30 reviews) with nowhere to send people · Facebook page with 723 followers is their only web presence,
1,No website,motueka,STIHL SHOP Motueka,Motueka,Southern,03 528 9159,motueka@stihlshop.co.nz,Richard Mabbott,,,,,,,4.5,41,https://www.facebook.com/STIHLSHOPMotueka,,https://www.instagram.com/stihlshopmotueka/,motueka.preview.f925.works,,no website of their own · Google 4.5★ (41 reviews) with nowhere to send people · Facebook page is their only web presence,
1,No website,queenstown,STIHL SHOP Queenstown,Queenstown,Southern,03 442 3896,queenstown@stihlshop.co.nz,Murray Wilson,,,,,,,4.4,23,https://www.facebook.com/stihlshopqueenstown,141,https://www.instagram.com/stihlshopqueenstown/,queenstown.preview.f925.works,,no website of their own · Google 4.4★ (23 reviews) with nowhere to send people · Facebook page with 141 followers is their only web presence,
1,No website,wanaka,STIHL SHOP Wanaka,Wanaka,Southern,03 443 7916,wanaka@stihlshop.co.nz,Sam & Jenna Scott,,,,,,,4.8,27,https://www.facebook.com/radiowanaka,3966,,wanaka.preview.f925.works,,"no website of their own · Google 4.8★ (27 reviews) with nowhere to send people · Facebook page with 3,966 followers is their only web presence",
