Store	Phone	Contact	Address	Town/City	Website?	Contacted?	Deal Stage	Region	Email	Notes
STIHL SHOP Albany	09 414 0022	Steve and Emma Marshall	265 Albany Highway, Rosedale	ALBANY	❌	Yes	Proposal Sent	Northern	albany@stihlshop.co.nz	
STIHL SHOP Alexandra	03 9767560	Murray Wilson	71 Centennial Ave	ALEXANDRA	❌			Southern	alexandra@stihlshop.co.nz	
STIHL SHOP Amberley	03 6623004	Jim & Ryan Bassett	47 Carters Road	AMBERLEY	https://stihlshopamberley.co.nz/			Southern	info@turfforce.co.nz	Trades as Turf Force
STIHL SHOP Ashburton	03 308 2055	Jeff and Kerry Marshall	187 West Street	ASHBURTON	❌			Southern	ashburton@stihlshop.co.nz	
STIHL SHOP Blenheim	03 578 3600	Steve & Mandy Metzger	30 Redwood Street	BLENHEIM	❌			Southern	blenheim@stihlshop.co.nz	stihlshopblenheim.nz redirects to franchise site
STIHL SHOP Botany	09 271 3000	Onkar and Sukhi Singh	16 Bishop Dunn Place	AUCKLAND	https://stihlshopbotany.co.nz/			Northern	botany@stihlshop.co.nz	
STIHL SHOP Browns Bay	09 475 5129	Peter & Judy Leishman	Shop 1, 26 Anzac Road	BROWNS BAY	❌			Northern	brownsbay@stihlshop.co.nz	
STIHL SHOP Cambridge	07 827 6763	Rodney Weinberg & Jai Trench	42 Victoria Street	CAMBRIDGE	❌			Northern	cambridge@stihlshop.co.nz	
STIHL SHOP Cromwell	03 445 1046	Murray Wilson	12 Elspeth Street	CROMWELL	❌			Southern	cromwell@stihlshop.co.nz	Operated by Southland Farm Machinery
STIHL SHOP Dargaville	021 317 638	Stewart Mills	12 Normanby Street	DARGAVILLE	❌			Northern	dargaville@stihlshop.co.nz	
STIHL SHOP Drury	09 294 8585	Ross Warren	267 Great South Road	DRURY	https://stihlshopdrury.co.nz			Northern	sales@downs.net.nz	Trades as Downs
STIHL SHOP Dunedin	03 455 4667	Daniel Marsh and Michelle Golder	535 Andersons Bay Rd	DUNEDIN	❌			Southern	dunedin@stihlshop.co.nz	stihlshopdunedin.co.nz redirects to franchise site
STIHL SHOP East Tamaki	09 274 6238	Hamish Cook and Clare Uhlenberg	18 Harris Road	EAST TAMAKI	https://www.stihlshopeasttamaki.co.nz			Northern	easttamaki@stihlshop.co.nz	
STIHL SHOP Ellerslie	09 579 4938	Philip and Karen Rollo	174B Marua Road	ELLERSLIE	❌			Southern	ellerslie@stihlshop.co.nz	
STIHL SHOP Feilding	06 323 8271	Richard & Nicky Baker	30 Aorangi Street	FEILDING	https://stihlshopfeilding.co.nz			Central	feilding@stihlshop.co.nz	
STIHL SHOP Ferrymead	03 376 4656	Bill and Shelley Caines	987 Ferry Road	FERRYMEAD	https://www.stihlshopferrymead.com			Southern	ferrymead@stihlshop.co.nz	
STIHL SHOP Fosters	03 343 6339	Tim Foster	559 Blenheim Road	CHRISTCHURCH	https://stihlshopfosters.co.nz			Southern	fosters@stihlshop.co.nz	
STIHL SHOP Gisborne	06 868 8045	Tony and Kirsten Morris	51 Carnarvon Street	GISBORNE	https://www.stihlshopgisborne.co.nz			Central	gisborne@stihlshop.co.nz	
STIHL SHOP Glen Eden	09 818 5144	Anthony McGill	93 West Coast Road	GLEN EDEN	❌			Northern	gleneden@stihlshop.co.nz	
STIHL SHOP Glenfield	09 215 43 98	Raman Behl	89 Wairau Road, Glenfield	AUCKLAND	https://stihlshopglenfield.co.nz			Northern	glenfield@stihlshop.co.nz	
STIHL SHOP Gore	03 208 7518	Aaron Green	189 Main Street	GORE	❌			Southern	gore@stihlshop.co.nz	
STIHL SHOP Greenmeadows	06 844 2418	Hayden & Victoria Buckman	2 Gloucester Street	NAPIER	https://stihlshopgreenmeadows.co.nz/			Central	greenmeadows@stihlshop.co.nz	
STIHL SHOP Greymouth	03 768 0230	Bill and Shelley Caines	11 Herbert Street	GREYMOUTH	https://www.stihlshopgreymouth.com/			Southern	greymouth@stihlshop.co.nz	
STIHL SHOP Greytown	06 304 9661	James Pringle	246 Main Street	GREYTOWN	https://www.stihlshopgreytown.co.nz/			Central	greytown@stihlshop.co.nz	Site has contact form only; email from franchise page
STIHL SHOP Hamilton East	07 856 6597	Joel and Alex Hansen	146 Grey Street	HAMILTON	https://www.stihlshophameast.co.nz/			Northern	hamiltoneast@stihlshop.co.nz	
STIHL SHOP Hastings	06 876 9458	Gareth and Amie Chadwick	906 Karamu Road	HASTINGS	https://stihlshophastings.co.nz/			Central	hastings@stihlshop.co.nz	
STIHL SHOP Hawera	06 278 4753	Damon Milham	Cnr Glover Rd & Union St	HAWERA	❌			Central	hawera@stihlshop.co.nz	
STIHL SHOP Howick	09 532 8443	Garth Deenik	102 Picton Street	HOWICK	https://stihlshophowick.co.nz/			Central	howick@stihlshop.co.nz	
STIHL SHOP Huntly	07 828 0011	Graham & Sue Randall	10 Ralph Street	HUNTLY	❌			Central	huntly@stihlshop.co.nz	
STIHL SHOP Invercargill	03 218 9364	Shirley & Gillon Muirhead	120 Tay Street	INVERCARGILL	https://www.stihlshopinvercargill.co.nz/			Southern	invercargill@stihlshop.co.nz	
STIHL SHOP Kaitaia	09 408 2770	Johno Brien & Carol Carr	134 North Rd	KAITAIA	❌			Central	kaitaia@stihlshop.co.nz	
STIHL SHOP Kapiti	04 212 5570	Eben Venter	10 Te Roto Drive	PARAPARAUMU	https://www.stihlshopkapiti.nz			Central	kapiti@stihlshop.co.nz	Site has contact form only; email from franchise page
STIHL SHOP Kumeu	09 412 8592	Craig Walker	54 Main Road	KUMEU	❌	Yes	Proposal Sent	Northern	kumeu@stihlshop.co.nz	Want to discuss pricing and see how the platform works
STIHL SHOP Lakelands	07 348 8141	Christine Leaf	2/1560 Amohau Street	ROTORUA	https://stihlshoplakelands.co.nz			Central	lakelands@stihlshop.co.nz	
STIHL SHOP Levin	06 367 9951	Bevan Bisset, Ingrid De Graaf and Scott Newton	108 Oxford Street	LEVIN	❌			Central	levin@stihlshop.co.nz	Trades as City Honda Horowhenua
STIHL SHOP Masterton	06 377 5549	Jeremy Sharp & Richard Wilton	4 Chapel Street	MASTERTON	❌			Central	masterton@stihlshop.co.nz	
